25,Оптимальные (комфортные) условия труда обеспечивают:,"1. Минимальную производительность труда, реализуемую при комфортной напряженности организма человека.
2. Максимальную производительность труда при максимальной напряжённости вовлечённых в трудовой процесс систем организма человека.
3. Заданную  производительность труда, реализуемую  при максимальной напряженность организма человека.
4. Такие условия, при которых сохраняется здоровье человека и создаются предпосылки для поддержания высокого уровня его работоспособности."
26,"К признакам, характеризующим возникновение вероятности опасности для человека, относятся:","1. Угроза жизни или здоровью.
2. Ухудшение состояния отдельных функциональных систем и организма в целом.
3. Генетические изменения, передаваемые по наследству.
4. Все вышеперечисленные признаки."
27,"Основными объектами изучения и влияния, такого научного и практического направления, как «Безопасность жизнедеятельности», являются:

","1. Коллективные методы и средства защиты от действия опасных факторов.
2. Человек и окружающая среда.
3. Функциональные системы организма человека. 
4. Индивидуальные методы и средства защиты от действия опасных факторов."
28,Оценка условий труда на рабочих местах определяется путём анализа:,"1. Опасных и вредных факторов производственной среды и трудового процесса 
2. Обеспеченности средствами индивидуальной защиты и их эффективности.
3. Травмобезопасности с учётом особенностей производственного процесса.
4. Всеми вышеперечисленными методами."
29,Идентификация опасностей это…,"1. Процесс или метод обнаружения и количественной оценки опасностей.
2. Способ ранжирования опасностей по степени повреждающего воздействия.
3. Классификация опасностей по характеру воздействия на человека.
4. Все вышеперечисленные определения."
30,При идентификации опасностей необходимо:,"1. Рассматривать все существующие виды опасностей, влияющих на организм человека.
2. Учитывать прямое и косвенное влияние факторов окружающей среды на организм человека.
3. Учитывать только факторы окружающей среды, оказывающие прямое влияние на организм человека.
4. Оценивать негативное влияние факторов  окружающей среды исключительно экспертными методами."
31,"Нештатная аварийная ситуация возникает в результате действия факторов, классифицируемых как:","1. Природные.
2. Антропогенные
3. Социальные.
4. Каждого из вышеперечисленных факторов или их совокупности."
32,Штатная ситуация характеризуется:,"1. Заданным уровнем параметров окружающей среды и деятельности человека, обеспечивающим приемлемый уровень риска.                      
2. Контролируемым уровнем опасных факторов окружающей среды, изменяющимся во времени и пространстве.
3. Медленным  изменением опасных факторов окружающей среды во времени и пространстве.
4. Отсутствием изменений уровня параметров окружающей среды в условиях реализации трудового процесса."
33,Чрезвычайная  ситуация характеризуется:,"1. Быстрым изменением параметров окружающей среды, угрожающим здоровью и жизни человека.
2. Материальным ущербом для общества.
3. Экономическим ущербом для общества.
4. Всеми вышеперечисленными факторами."
34,"Допустимое значение вероятности риска гибели человека в России составляет:
","1.   10-3
2.   10-4
3.   10-5
4.   10-6"
35,К литосферным опасностям относится:,"1. Гололед.
2. Ливень.
3. Пожар.
4. Оползень."
36, К атмосферным опасностям относится:,"1. Буря.
2. Ураган.
3. Смерч.
4. Все вышеперечисленные явления."
37,От действия какой природной опасности наблюдается наибольший ущерб ?,"1. Землетрясения.
2. Наводнения.
3. Урагана.
4. Пожара."
38," Обстановка на определенной территории, сложившаяся в результате аварии, опасного природного явления, катастрофы, стихийного или иного бедствия, которые могут повлечь или повлекли за собой человеческие жертвы, ущерб здоровью людей или окружающей среде, значительные материальные потери и нарушение условий жизнедеятельности людей – это ….","1. Нештатная ситуация.
2. Чрезвычайная ситуация.
3. Аварийная ситуация.
4. Ситуация, нарушающая установившийся рабочий процесс.

"
39,"Основными элементами, входящими в систему классификации рисков являются:
","1. Основные факторы возникновения рисков.
2. Временные характеристики возникновения и действия факторов риска.
3. Характер последствий влияния факторов риска и способы их учёта.
4. Все вышеперечисленные элементы."
40,"Разрушительное природное и (или) природно-антропогенное явление или процесс значительного масштаба, в результате которого может возникнуть или возникла угроза жизни и здоровью людей, произойти разрушение или уничтожение материальных ценностей и компонентов окружающей природной среды –это:","1. Чрезвычайная ситуация.
2. Стихийное бедствие.
3. Катастрофа.
4. Опасная ситуация.

"
41,"Что из перечисленного не относится по классификации к социальным опасностям:
","1. Мошенничество.
2. Бандитизм.
3. Терроризм.
4. Аудит."
42,Система управления рисками способствует:,"1. Достижению поставленных целей в производстве.
2. Обеспечению безопасности работников.
3. Повышению уровня здоровья работников.
4. Выполнению всех вышеперечисленных показателей."
43,Эффективное функционирование системы управления рисками требует:,"1. Наиболее полный охват возможных сфер возникновения рисков. 
2. Принятие риска без его идентификации и оценки.
3. Минимизацию спектра возможных рисков и степени их влияния.
4. Верны первый и третий пункты.
"
44,"Функции, возлагаемые на систему управления риском не содержат:
","1. Разработку политики в области управления риском.
2. Разработку нормативных актов по принципам анализа рисков.
3. Выявление факторов риска и оценку его возможного уровня. 
4. Подготовку и планирование мер по нейтрализации, компенсации ожидаемых негативных последствий риска."
45,"При сильном ветре концентрация и плотность заражения территории химически опасными веществами:


","1. Уменьшается.
2. Увеличивается.
3. Концентрация уменьшается, а плотность увеличивается.
4. Концентрация увеличивается, а плотность уменьшается."
46,Процесс оценки риска не содержит:,"1. Идентификацию риска.
2. Анализ риска.
3. Оценку риска.
4. Воздействие на риск."
47,"Разрушение  сооружений и (или) технических устройств, применяемых на производстве, неконтролируемый взрыв и (или) выброс опасных веществ классифицируется как:","1. Опасность. 
2. Катастрофа.
3. Авария.
4. Инцидент."
48,"Отказ или повреждение технических устройств, применяемых на предприятиях,  отклонение от установленного режима технологического процесса, классифицируется как:","1. Инцидент.
2. Катастрофа.
3. Опасность.
4. Авария.
"
49,При каких условиях возникает риск?,"1. В случае существования фактора опасности в окружающей среде.
2. При негативном восприятии человеком  действующего фактора опасности.
3. В случае превышения  фактором опасности допустимых норм.
4. Все вышеперечисленное."
50,"Определите вид риска в случае, когда его источником являются условия жизнедеятельности конкретного человека:","1. Экономический.
2. Экологический.
3. Технический.
4. Индивидуальный."
51,"Ожидаемое количество пораженных в результате возможных аварий за определенный период времени классифицируется как:
","1. Риск аварии.
2. Потенциальный риск. 
3. Коллективный риск.
4. Социальный риск."
52,"Зависимость частоты возникновения сценариев аварий F, в которых пострадало не менее N человек, от этого числа N классифицируется как:","Ожидаемый ущерб.
2. Социальный риск.
3. Групповой риск.
4. Коллективны риск."
53,Для оценки риска аварий используются следующие показатели риска:,"1. Индивидуальный.
2. Потенциальный. 
3. Коллективный. 
4. Все вышеперечисленные показатели."
54,"Сравнительная мера опасности, характеризующая относительную возможность возникновения и тяжесть последствий аварий на предприятии и (или) его составных частях характеризует:
","1.  Степень опасности аварии. 
2. Опасность, как качественную характеристику аварии. 
3. Ожидаемый материальный риск.
4. Ожидаемый ущерб."
55,В какую погоду концентрация химически опасных веществ в приземном слое максимальна:,"1. Днём в облачную погоду. 
2. Ночью в облачную погоду.
3. Ночью в ясную погоду.
4. Нет правильного ответа."
56, Какую из перечисленных характеристик группы экспертов по безопасности жизнедеятельности можно оценить количественно? ,"1. Конформизм.
2. Компетентность.
3. Коллективизм. 
4. Креативность."
57,"Для ранжирования опасностей, генерируемых  техническими системами, они должны быть:","1. Идентичными по назначению.
2. Сравнимы в количественном выражении.
3. Качественно различимыми.
4. Отличными по функциональным возможностям."
58,"При оценке риска, возникающего в процессе эксплуатации технических систем, используются методы:
","1. Экспертных оценок.
2. Математической статистики.
3. Физического и математического моделирования.
4. Все вышеперечисленные методы."
59,В соответствии со статьей 216 ТК РФ государственное управление охраной труда осуществляется,"1. Администрацией президента РФ
2. Советом Федерации
3. Государственной думой
4. Правительством РФ или по его поручению федеральными органами исполнительной власти"
60,"Что представляет собой “Система управления”?
","1. совокупность взаимосвязанных и событий, направленных на разработку политики и целей управления
2. совокупность взаимодействующих элементов, направленных на разработку политики и целей управления
3. совокупность взаимосвязанных и взаимодействующих элементов для разработки политики и целей и путей достижения этих целей
4. множество взаимосвязанных и взаимодействующих элементов для разработки целей и задач управления"
61,"Что не включает в себя система управления? 
","1. деятельность по планированию
2. правила эксплуатации
3. меры ответственности
4. процедуры"
62,"Что не являлось предпосылкой к формированию системного подхода в охране труда?
","1. глобализация и либерализация мировой экономики
2. неэффективность командно-административной модели управления производством
3. необходимость координации всех аспектов деятельности организации на системной основе
4. снижение уровня производственного травматизма"
63,К принципам системы управления охраной труда относится,"1. ориентация на органы надзора и  контроля
2. ориентация на социальную и экономическую эффективность
3. ориентация на успешное прохождение проверок по ОТ и ТБ
4. ориентация на руководство предприятия"
64,"Какой принцип заложен в основу всех современных систем управления (Plan – планируй; Do – делай, выполняй; Check – контролируй, проверяй; Act – действуй, совершенствуй)?","1.Диксона
2. Клауса
3. Деминга
4. Стерлинга"
65,Какой документ по системам управления охраной труда выпустила Международная организация труда (МОТ) в начале 2000-х годов?,"1. МОТ-СОУТ-2002 
2. МОТ-СУОТ-2001 
3. МОТ-СпецСУ-2003 
4. МОТ-ИнтерСУОТ-2000 "
66,Внедрения разнообразных систем управления на уровне организации продиктовано,"1. необходимостью снизить издержки производства и повысить прибыль
2. необходимостью увеличения административного аппарата управления предприятием с целью повышения эффективности управления
3. необходимостью получения международных сертификатов соответствия
4. необходимость удовлетворить требования Правительства РФ"
67,"Согласно МОТ стадии комплексного подхода к снижению уровня производственного травматизма и профессиональной заболеваемости, является","1. технологии – администрирование - системы управления – культура охраны труда
2. системы управления – технологии -администрирование
3. технологии – системы управления – культура охраны труда – системы поощрения работников
4. технологии – системы управления – культура охраны труда"
68,Эффектом от внедрения СУОТ на предприятии не является,"1. снижение количества несчастных случаев, микротравм и инцидентов
2. снижение экономических потерь предприятия в результате несчастных случаев на производстве
3. снижение количества проверок со стороны органов государственного надзора и контроля 
4. увеличение количества процедур оценки рисков "
69,К национальным стандартам РФ в области СУОТ не относится,"1. ГОСТ 12.0.230-2007. ССБТ. Системы управления охраной труда. Общие требования
2. ГОСТ Р 54934 – 2012/ OHSAS 18001:2007. Системы менеджмента безопасности труда и охраны здоровья
3. ГОСТ Р 12.0.007-2009. СCБТ. Система управления охраной труда в организации. Общие требования по разработке, применению, оценке и совершенствованию
4. ГОСТ Р 12.0.120-2012. ССБТ. Система управления охраной труда в организации на аутсорсинг"
70,"Что создается в организациях, эксплуатирующих опасные производственные объекты? ","1. создаются и внедряются единые системы управления охраной труда и промышленной безопасностью (ЕСУОТ и ПБ).
2. создаются и внедряются внутренние системы управления безопасностью труда и пожарной безопасностью (ЕСУБТ и ПБ).
3. создаются и внедряются единые системы управления защиты труда и производственной безопасностью (ЕСУЗТ и ПБ).
4. создаются и внедряются единые системы управления охвата труда и поддержки безопасности (ЕСУОТ и ПБ)"
71,Какие этапы можно выделить во внедрении системы управления охраны труда на предприятии (по ГОСТ 12.0.230-2007)?,"1. “планирование и применение - организация - оценка (контроль) - действия по совершенствованию”
2. “организация - планирование и применение - оценка (контроль) - действия по совершенствованию”
3. “оценка (контроль) - организация - планирование и применение - действия по совершенствованию”
4. “оценка (контроль) - планирование и применение - организация - действия по совершенствованию”"
72,В функции управления охраной труда в организации не входит,"1. планирование работ по ОТ
2. информирование органов исполнительной власти о принимаемых управленческих решениях в организации
3. контроль за состоянием условий труда
4. организация работ по охране труда"
73,Система управления охраной труда предусматривает следующие отношения предприятия с привлекаемыми подрядчиками,"1. подрядчики подчиняются собственной СУОТ, установленной в их организации
2. подрядчики устанавливают правила ОТ и ТБ в соответствии с ситуацией
3. СУОТ предприятия распространяется и на привлекаемых подрядчиков
4. подрядчики могут не устанавливать никаких правил ТБ и ОТ"
74,Ухудшение состояния здоровья работников,"1. не является объектом системы управления охраной труда
2. согласно принципам системного управления охраной труда должно быть изучено, выявлены его причины
3. является объектом изучения только медицинских служб
4. требует дополнительных отчислений в налоговые органы"
75,"Чем является Политика в области охраны труда организации?








","1. документом системы управления охраной труда, в котором отражены ключевые принципы и стратегические цели организации в области охраны труда
2. декларативным документом организации, отражающем способы взаимодействия с заказчиками
3. стратегическим планом развития организации
4. сводом требований и правил в области охраны труда"
76,Что отсутствует в модели системы управления охраной труда?,"1. организация
2. оценка
3. действия по совершенствованию
4. наказание"
77,Международная организация труда определила Всемирным днем охраны труда,"1. 23 марта
2. 28 апреля
3. 12 июня
4. 1 мая"
78,"Комплекс взаимосвязанных организационных и технических мероприятий, осуществляемых организацией, эксплуатирующей опасные производственные объекты, в целях предупреждения аварий и инцидентов на опасных производственных объектах, локализации и ликвидации последствий таких аварий называется….","1. СУОТ
2. СУПБ
3. ЕСУОТ и ПБ
4. СЭМ"
79,Какой документ обязывает организации создавать системы управления промышленной безопасностью?,"1. Трудовой кодекс РФ
2. Конституция РФ
3. ФЗ №181 ««Об основах охраны труда в Российской Федерации»
4. ФЗ №116 «О промышленной безопасности опасных производственных объектов»"
80, Какие организации обязаны создать системы управления промышленной безопасностью и обеспечивать их функционирование?,"1. Организации с численностью работников  более 50 человек.
2. Организации, эксплуатирующие опасные производственные объекты I или II класса опасности.
3. Не регламентируется.
4. Все организации, эксплуатирующие транспортные средства"
81,Состояние защищенности жизненно важных интересов личности и общества от аварий на опасных производственных объектах и последствий указанных аварий – это…,"1. Охрана труда.
2. Производственная санитария.
3. Промышленная безопасность.
4. Пожарная безопасность."
82,"Что не входит в «Положение об организации и выполнении работ повышенной опасности»?
","1. Обязанности должностных лиц, ответственных за организацию и выполнение работ повышенной опасности.
2. Порядок оформления и выдачи нарядов-допусков.
3. Дополнительные требования при производстве отдельных работ.
4. Порядок проведения медицинских осмотров работников"
83,"Что должна содержать документация системы управления промышленной безопасностью:





 ","1. Заявление о политике эксплуатирующих организаций в области промышленной безопасности.
2. Положение о производственном контроле за соблюдением требований промышленной безопасности на ОПО.
3. Документы планирования мероприятий по снижению риска аварий на опасных производственных объектах.
4. Все перечисленные."
84,В соответствии с требованиями ТК РФ служба охраны труда должны быть созданы в организациях с численностью работников…,"1. Более 20 человек.
2. Более 50 человек.
3. Более 100 человек.
4. Более 150 человек.
"
